sample	Source Species	Serotype
18-038873-023	Cattle	"4,[5],12:i:-"
18-038873-024	Cattle	Heidelberg
18-038873-025	Cattle	Heidelberg
18-038873-026	Pig	"4,[5],12:i:-"
18-038873-027	Pig	"4,[5],12:i:-"
18-038873-028	Cattle	Heidelberg
18-038873-029	Cattle	Heidelberg
18-038873-032	Cattle	Infantis
18-038873-035	Pig	Heidelberg
18-038873-040	Cattle	Heidelberg
18-038873-043	Cattle	Heidelberg
18-038873-046	Pig	Infantis
18-038873-047	Pig	Typhimurium
18-038873-053	Chicken	Typhimurium
18-038873-054	Chicken	Typhimurium
18-038873-056	Pig	"4,[5],12:i:-"
18-038873-057	Pig	Infantis
18-038873-058	Cattle	Heidelberg
18-038873-059	Cattle	Heidelberg
18-038873-062	Cattle	Typhimurium
18-038873-063	Goat	"4,[5],12:i:-"
18-038873-072	Chicken	Typhimurium
18-038873-073	Pig	Typhimurium
18-038873-075	Cattle	Typhimurium
18-038873-079	Cattle	Heidelberg
18-038873-081	Chicken	Infantis
18-038873-082	Cattle	Infantis
18-038874-003	Cattle	Heidelberg
18-038874-004	Pig	"4,[5],12:i:-"
18-038874-006	Chicken	Typhimurium
18-038874-010	Pig	"4,[5],12:i:-"
18-038874-011	Pig	"4,[5],12:i:-"
18-038874-014	Pig	Infantis
18-038874-016	Cattle	Heidelberg
18-038874-017	Cattle	Infantis
18-038874-018	Horse	"4,[5],12:i:-"
18-038874-023	Cattle	Heidelberg
18-038874-024	Cattle	"4,[5],12:i:-"
18-038874-026	Pig	Heidelberg
18-038874-028	Pig	"4,[5],12:i:-"
18-038874-029	Pig	Typhimurium
18-038874-031	Pig	"4,[5],12:i:-"
18-038874-032	Pig	Heidelberg
18-038874-035	Pig	Infantis
18-038874-037	Cattle	"4,[5],12:i:-"
18-038874-039	Horse	"4,[5],12:i:-"
18-038874-041	Pig	"4,[5],12:i:-"
18-038874-043	Horse	"4,[5],12:i:-"
18-038874-044	Pig	"4,[5],12:i:-"
18-038874-046	Pig	"4,[5],12:i:-"
18-038874-054	Pig	Infantis
18-038874-057	Cattle	"4,[5],12:i:-"
18-038874-058	Cattle	"4,[5],12:i:-"
18-038874-059	Cattle	Heidelberg
18-038874-060	Cattle	Heidelberg
18-038874-061	Cattle	Heidelberg
18-038874-062	Cattle	"4,[5],12:i:-"
18-038874-064	Cattle	Heidelberg
18-038874-065	Cattle	Typhimurium
18-038874-067	Pig	Heidelberg
18-038874-068	Dog	Typhimurium
18-038874-069	Cattle	Heidelberg
18-038874-071	Pig	"4,[5],12:i:-"
18-038874-072	Pig	"4,[5],12:i:-"
18-038874-073	Cattle	"4,[5],12:i:-"
18-038874-074	Cattle	Heidelberg
18-038874-076	Pig	Typhimurium
18-038874-077	Pig	Heidelberg
18-038874-078	Pig	Heidelberg
18-038874-079	Pig	"4,[5],12:i:-"
18-038875-001	Cattle	Infantis
18-038875-004	Turkey	Infantis
18-038875-007	Pig	"4,[5],12:i:-"
18-038875-010	Chicken	Heidelberg
18-038875-013	Cattle	"4,[5],12:i:-"
18-038875-014	Chicken	Typhimurium
18-038875-017	Chicken	Typhimurium
18-038875-018	Pig	"4,[5],12:i:-"
18-038875-021	Cattle	"4,[5],12:i:-"
18-038875-022	Chicken	Infantis
18-038875-025	Pig	"4,[5],12:i:-"
18-038875-027	Horse	Heidelberg
18-038875-028	Cattle	Typhimurium
18-038875-032	Cattle	"4,[5],12:i:-"
18-038875-034	Horse	Typhimurium
18-038875-035	Cattle	Heidelberg
18-038875-036	Cattle	Typhimurium
18-038875-042	Pig	"4,[5],12:i:-"
18-038875-049	Pig	Heidelberg
18-038875-052	Horse	Infantis
18-038875-055	Horse	Infantis
18-038875-057	Pig	Infantis
18-038875-059	Pig	Typhimurium
18-038875-060	Cattle	Heidelberg
18-038875-062	Cattle	Typhimurium
18-038875-063	Cattle	Infantis
18-038875-065	Pig	"4,[5],12:i:-"
18-038875-066	Pig	Infantis
18-038875-067	Cattle	"4,[5],12:i:-"
18-038875-068	Chicken	Typhimurium
18-038875-070	Cattle	Heidelberg
18-038875-071	Pig	"4,[5],12:i:-"
18-038875-073	Chicken	Typhimurium
18-038875-074	Chicken	Typhimurium
18-038875-076	Turkey	Typhimurium
18-038875-077	Turkey	Typhimurium
18-038875-078	Pig	Infantis
18-038875-080	Horse	Typhimurium
18-038876-002	Turkey	"4,[5],12:i:-"
18-038876-003	Pig	Infantis
18-038876-004	Pig	Heidelberg
18-038876-006	Pig	Heidelberg
18-038876-009	Pig	"4,[5],12:i:-"
18-038876-013	Dog	Typhimurium
18-038876-014	Cattle	Heidelberg
18-038876-016	Pig	"4,[5],12:i:-"
18-038876-019	Pig	"4,[5],12:i:-"
18-038876-021	Pig	"4,[5],12:i:-"
18-038876-022	Pig	"4,[5],12:i:-"
18-038876-024	Chicken	Typhimurium
18-038876-025	Chicken	Typhimurium
18-038876-028	Pig	Infantis
18-038876-029	Pig	Typhimurium
18-038876-031	Pig	"4,[5],12:i:-"
18-038876-034	Pig	"4,[5],12:i:-"
18-038876-035	Cattle	Heidelberg
18-038876-036	Pig	Heidelberg
18-038876-039	Pig	Typhimurium
18-038876-040	Cattle	Heidelberg
18-038876-045	Cattle	Typhimurium
18-038876-046	Cattle	Heidelberg
18-038876-047	Pig	"4,[5],12:i:-"
18-038876-049	Pig	"4,[5],12:i:-"
18-038876-050	Cattle	Typhimurium
18-038876-053	Pig	Typhimurium
18-038876-054	Cattle	Heidelberg
18-038876-057	Cattle	Infantis
18-038876-058	Cattle	Heidelberg
18-038876-059	Pig	Infantis
18-038876-060	Pig	Heidelberg
18-038876-061	Pig	Heidelberg
18-038876-063	Turkey	Typhimurium
18-038876-064	Pig	"4,[5],12:i:-"
18-038876-065	Turkey	Infantis
18-038876-067	Dog	"4,[5],12:i:-"
18-038876-071	Dog	Typhimurium
18-038876-073	Cattle	Heidelberg
18-038876-075	Chicken	Infantis
18-038876-076	Pig	Heidelberg
18-038877-001	Cattle	"4,[5],12:i:-"
18-038877-002	Cattle	"4,[5],12:i:-"
18-038877-003	Turkey	Infantis
18-038877-006	Pig	Typhimurium
18-038877-007	Chicken	Heidelberg
18-038877-008	Cattle	Heidelberg
18-038877-013	Pig	Infantis
18-038877-014	Chicken	"4,[5],12:i:-"
18-038877-016	Horse	Typhimurium
18-038877-017	Horse	Infantis
18-038877-019	Pig	Heidelberg
18-038877-020	Pig	"4,[5],12:i:-"
18-038877-022	Pig	Heidelberg
18-038877-023	Pig	"4,[5],12:i:-"
18-038877-025	Dog	"4,[5],12:i:-"
18-038877-037	Horse	Typhimurium
18-038877-044	Turkey	Infantis
18-038877-045	Cattle	Heidelberg
18-038877-046	Pig	Infantis
18-038877-048	Pig	Infantis
18-038877-049	Cattle	Heidelberg
18-038877-050	Chicken	"4,[5],12:i:-"
18-038877-051	Cattle	Infantis
18-038877-053	Chicken	Typhimurium
18-038877-055	Pig	Infantis
18-038877-056	Pig	"4,[5],12:i:-"
18-038877-057	Pig	"4,[5],12:i:-"
18-038877-059	Pig	Infantis
18-038877-060	Cattle	Heidelberg
18-038877-062	Chicken	"4,[5],12:i:-"
18-038877-064	Horse	"4,[5],12:i:-"
18-038877-065	Horse	"4,[5],12:i:-"
18-038877-066	Horse	Typhimurium
18-038877-067	Pig	Typhimurium
18-038877-068	Chicken	Typhimurium
18-038877-070	Pig	"4,[5],12:i:-"
18-038877-074	Dog	Infantis
18-038877-076	Pig	Heidelberg
18-038877-077	Sheep	Heidelberg
18-038877-080	Sheep	Heidelberg
19-020610-001	Cattle	Heidelberg
19-020610-003	Cattle	Infantis
19-020610-010	Pig	Typhimurium
19-020610-011	Horse	Infantis
19-020610-012	Horse	Typhimurium
19-020610-016	Pig	"4,[5],12:i:-"
19-020610-019	Horse	Typhimurium
19-020610-023	Chicken	Typhimurium
19-020610-024	Horse	"4,[5],12:i:-"
19-020610-025	Cattle	"4,[5],12:i:-"
19-020610-026	Horse	Typhimurium
19-020610-028	Horse	"4,[5],12:i:-"
19-020610-033	Cattle	Heidelberg
19-020610-034	Cattle	Typhimurium
19-020610-036	Sheep	"4,[5],12:i:-"
19-020610-040	Cattle	"4,[5],12:i:-"
19-020610-046	Cattle	Typhimurium
19-020610-048	Cattle	"4,[5],12:i:-"
19-020610-049	Cattle	Infantis
19-020610-050	Chicken	Typhimurium
19-020610-051	Cattle	Typhimurium
19-020610-057	Pig	"4,[5],12:i:-"
19-020610-058	Cattle	Typhimurium
19-020610-059	Horse	"4,[5],12:i:-"
19-020610-060	Cattle	"4,[5],12:i:-"
19-020610-063	Chicken	Typhimurium
19-020610-065	Cattle	"4,[5],12:i:-"
19-020610-067	Chicken	Typhimurium
19-020610-068	Horse	Typhimurium
19-020610-069	Pig	"4,[5],12:i:-"
19-020610-070	Pig	"4,[5],12:i:-"
19-020610-072	Cattle	Heidelberg
19-020610-073	Cattle	Heidelberg
19-020610-074	Pig	"4,[5],12:i:-"
19-020610-077	Horse	"4,[5],12:i:-"
19-021046-001	Cattle	Typhimurium
19-021046-002	Sheep	Typhimurium
19-021046-005	Cattle	Heidelberg
19-021046-008	Pig	"4,[5],12:i:-"
19-021046-009	Pig	Infantis
19-021046-011	Cattle	"4,[5],12:i:-"
19-021046-012	Cattle	Typhimurium
19-021046-013	Cattle	Heidelberg
19-021046-015	Cattle	"4,[5],12:i:-"
19-021046-016	Cattle	Heidelberg
19-021046-017	Horse	"4,[5],12:i:-"
19-021046-018	Cattle	Infantis
19-021046-019	Dog	Typhimurium
19-021046-020	Horse	"4,[5],12:i:-"
19-021046-021	Cattle	Infantis
19-021046-022	Horse	"4,[5],12:i:-"
19-021046-024	Chicken	Typhimurium
19-021046-025	Horse	Infantis
19-021046-026	Cattle	Heidelberg
19-021046-027	Pig	"4,[5],12:i:-"
19-021046-032	Turkey	"4,[5],12:i:-"
19-021046-034	Pig	Typhimurium
19-021046-038	Cattle	"4,[5],12:i:-"
19-021046-041	Chicken	Typhimurium
19-021046-043	Cattle	Infantis
19-021046-050	Dog	Infantis
19-021046-058	Pig	"4,[5],12:i:-"
19-021046-059	Pig	Heidelberg
19-021046-060	Horse	Typhimurium
19-021046-066	Cattle	Infantis
19-021046-068	Cattle	Heidelberg
19-021046-073	Cattle	Heidelberg
19-021046-075	Cattle	Infantis
19-021046-079	Pig	Typhimurium
19-021047-001	Turkey	Infantis
19-021047-002	Cattle	Typhimurium
19-021047-003	Pig	"4,[5],12:i:-"
19-021047-004	Cat	Typhimurium
19-021047-008	Pig	Infantis
19-021047-009	Chicken	Infantis
19-021047-012	Pig	Typhimurium
19-021047-013	Horse	"4,[5],12:i:-"
19-021047-014	Horse	Infantis
19-021047-016	Pig	"4,[5],12:i:-"
19-021047-026	Chicken	Infantis
19-021047-027	Chicken	Typhimurium
19-021047-029	Cattle	Typhimurium
19-021047-030	Cat	Typhimurium
19-021047-034	Pig	"4,[5],12:i:-"
19-021047-035	Turkey	Typhimurium
19-021047-036	Cattle	Heidelberg
19-021047-038	Pig	Typhimurium
19-021048-001	Swine	Infantis
19-021048-002	Swine	Infantis
19-021048-003	Swine	Infantis
19-021048-004	Swine	Infantis
19-021048-005	Swine	Infantis
19-021048-006	Cattle	Infantis
19-021048-007	Swine	Infantis
19-021048-009	Chicken	Infantis
19-021048-010	Horse	Infantis
19-021048-011	Chicken	Infantis
19-021048-012	Cattle	Infantis
19-021048-013	Cattle	Infantis
19-021048-014	Cattle	Infantis
19-021048-015	Horse	Infantis
19-021048-016	Swine	Infantis
19-021048-017	Swine	Infantis
19-021048-018	Cat/Dog	Infantis
19-021048-020	Swine	Infantis
19-021048-021	Swine	Infantis
19-021048-022	Cat/Dog	Infantis
19-021048-023	Swine	Infantis
19-021048-024	Horse	Infantis
19-021048-025	Chicken	Infantis
19-021048-026	Cattle	Infantis
19-021048-027	Chicken	Infantis
19-021048-028	Cattle	Infantis
19-021048-029	Cattle	Infantis
19-021048-030	Horse	Infantis
19-021048-031	Cattle	Infantis
19-021048-032	Cattle	Infantis
19-021048-033	Swine	Infantis
19-021048-034	Swine	Infantis
19-021048-035	Swine	Infantis
19-021048-036	Horse	Infantis
19-021048-037	Swine	Infantis
19-021048-038	Swine	Infantis
19-021048-039	Cattle	Infantis
19-021048-041	Chicken	Infantis
19-021048-042	Cat/Dog	Infantis
19-021048-043	Horse	Infantis
19-021048-044	Swine	Infantis
19-021048-045	Turkey	Infantis
19-021048-046	Chicken	Infantis
19-021048-047	Cattle	Infantis
19-021048-048	Cattle	Infantis
19-021048-050	Swine	Infantis
19-021048-051	Cattle	Infantis
19-021048-052	Swine	Infantis
19-021048-053	Swine	Infantis
19-021048-054	Turkey	Infantis
19-021048-055	Horse	Infantis
19-021048-056	Cattle	Infantis
19-021048-057	Turkey	Infantis
19-021048-058	Horse	Infantis
19-021048-059	Cat/Dog	Infantis
19-021048-061	Chicken	Infantis
19-021048-062	Turkey	Infantis
19-021048-063	Cattle	Infantis
19-021048-064	Cat/Dog	Infantis
19-021048-065	Cattle	Infantis
19-021048-066	Swine	Infantis
