sample	Source Species	Serotype
18-006979-450	Chicken	Infantis
18-006979-457	Sheep	Typhimurium
18-006979-458	Pig	Heidelberg
18-006979-462	Dog	Typhimurium
18-006979-466	Cat	"4,[5],12:i:-"
18-006979-467	Cat	"4,[5],12:i:-"
18-006979-468	Cat	"4,[5],12:i:-"
18-006979-481	Pig	"4,[5],12:i:-"
18-006979-491	Dog	Typhimurium
18-006979-493	Pig	"4,[5],12:i:-"
18-006979-494	Cattle	Typhimurium
18-006979-498	Chicken	Typhimurium
18-006979-509	Cat	Typhimurium
18-006979-511	Dog	Typhimurium
18-006979-512	Cattle	Heidelberg
18-006979-513	Horse	Typhimurium
18-006979-514	Cattle	"4,[5],12:i:-"
18-006979-515	Cattle	Typhimurium
18-006979-518	Pig	Typhimurium
18-006979-519	Cattle	Typhimurium
18-006979-520	Pig	"4,[5],12:i:-"
18-006979-521	Cattle	"4,[5],12:i:-"
18-006979-528	Chicken	Infantis
18-006979-537	Cattle	Heidelberg
18-006979-540	Pig	Infantis
18-006979-543	Chicken	Typhimurium
18-006979-559	Dog	Heidelberg
18-006979-566	Pig	Infantis
18-006979-570	Chicken	"4,[5],12:i:-"
18-006979-572	Chicken	Infantis
18-006979-575	Chicken	Heidelberg
18-012180-001	Chicken	Typhimurium
18-012180-002	Cattle	Typhimurium
18-012180-003	Pig	Typhimurium
18-012180-020	Pig	Infantis
18-012180-024	Cattle	Typhimurium
18-012180-025	Goat	Infantis
18-012180-026	Chicken	Typhimurium
18-012180-027	Cattle	Typhimurium
18-012180-031	Pig	"4,[5],12:i:-"
18-012180-037	Horse	Typhimurium
18-012180-040	Sheep	Infantis
18-012180-043	Cattle	Infantis
18-012180-045	Pig	"4,[5],12:i:-"
18-012180-046	Cattle	"4,[5],12:i:-"
18-012180-047	Turkey	Typhimurium
18-012180-055	Pig	Infantis
18-012180-057	Cattle	"4,[5],12:i:-"
18-012180-058	Cattle	"4,[5],12:i:-"
18-012180-059	Chicken	Heidelberg
18-012180-061	Cattle	Heidelberg
18-012180-062	Pig	Heidelberg
18-012180-064	Goat	"4,[5],12:i:-"
18-012180-066	Horse	"4,[5],12:i:-"
18-012180-069	Pig	"4,[5],12:i:-"
18-012180-070	Pig	Infantis
18-012180-071	Cattle	"4,[5],12:i:-"
18-012180-074	Cat	Infantis
18-012180-076	Chicken	Typhimurium
18-012180-077	Cattle	"4,[5],12:i:-"
18-012180-078	Pig	"4,[5],12:i:-"
18-012180-079	Pig	Infantis
18-012180-083	Chicken	"4,[5],12:i:-"
18-012180-084	Turkey	"4,[5],12:i:-"
18-012180-085	Cattle	Typhimurium
18-012180-090	Pig	"4,[5],12:i:-"
18-012180-093	Goat	Typhimurium
18-012180-094	Dog	Typhimurium
18-012180-097	Pig	Typhimurium
18-012180-099	Pig	"4,[5],12:i:-"
18-012180-100	Pig	"4,[5],12:i:-"
18-012180-102	Cattle	"4,[5],12:i:-"
18-012180-106	Cattle	Typhimurium
18-012180-109	Cattle	"4,[5],12:i:-"
18-012180-113	Chicken	Heidelberg
18-012180-115	Chicken	"4,[5],12:i:-"
18-012180-116	Cattle	Typhimurium
18-012180-123	Cattle	Heidelberg
18-012180-124	Pig	Heidelberg
18-012180-127	Pig	Heidelberg
18-012180-128	Pig	Typhimurium
18-012180-129	Pig	"4,[5],12:i:-"
18-012180-131	Horse	"4,[5],12:i:-"
18-012180-136	Cattle	"4,[5],12:i:-"
18-012180-138	Cattle	Typhimurium
18-012180-147	Cattle	"4,[5],12:i:-"
18-012180-149	Cattle	Infantis
18-012180-150	Pig	"4,[5],12:i:-"
18-012180-153	Pig	"4,[5],12:i:-"
18-012180-154	Pig	Infantis
18-012180-155	Dog	Typhimurium
18-012180-156	Cattle	Typhimurium
18-012180-159	Cat	Typhimurium
18-012180-160	Dog	Infantis
18-012180-161	Chicken	Infantis
18-012180-162	Pig	"4,[5],12:i:-"
18-012180-165	Cattle	Typhimurium
18-012180-167	Pig	"4,[5],12:i:-"
18-012180-168	Chicken	"4,[5],12:i:-"
